time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-15T06:32:57.466Z,-20.5593,-69.1714,111.92,4.1,mb,,61,0.416,0.78,us,us60008fy8,2020-03-15T07:24:49.442Z,"Tarapaca, Chile",earthquake,4.1,5.7,0.151,13,reviewed,us,us
2020-03-15T06:02:03.780Z,39.82,-29.4524,10,4.3,mb,,162,3.692,0.5,us,us60008fyi,2020-03-15T06:59:56.040Z,"Azores Islands, Portugal",earthquake,9.9,1.7,0.116,21,reviewed,us,us
2020-03-15T05:57:06.380Z,17.9608,-66.8355,7,2.7,md,7,202,0.2435,0.24,pr,pr2020075007,2020-03-15T06:18:16.392Z,"Puerto Rico",earthquake,1.23,1.45,0.02,3,reviewed,pr,pr
2020-03-15T03:35:02.860Z,17.8843,-66.718,5,3.2,md,8,217,0.185,0.26,pr,pr2020075006,2020-03-15T11:37:37.331Z,"Puerto Rico region",earthquake,1.67,0.94,0.42,5,reviewed,pr,pr
2020-03-15T02:41:26.260Z,17.9363,-66.9365,7,2.83,md,6,222,0.0692,0.13,pr,pr2020075002,2020-03-15T03:02:51.939Z,"Puerto Rico region",earthquake,1.12,0.43,0.41,5,reviewed,pr,pr
2020-03-15T01:22:17.338Z,15.0591,-92.7537,87.09,5.1,mwr,,121,1.153,0.85,us,us60008fuy,2020-03-15T18:38:43.211Z,"offshore Chiapas, Mexico",earthquake,6.6,6.2,0.089,12,reviewed,us,us
2020-03-14T21:59:23.800Z,17.807,-66.931,7,2.54,md,8,266,0.1759,0.33,pr,pr2020074035,2020-03-14T22:56:50.136Z,"Puerto Rico region",earthquake,1.77,1.02,0.36,6,reviewed,pr,pr
2020-03-14T21:45:04.030Z,17.7813,-66.9311,8,2.62,md,8,271,0.2006,0.08,pr,pr2020074036,2020-03-14T22:56:54.700Z,"Puerto Rico region",earthquake,0.81,0.61,0.33,3,reviewed,pr,pr
2020-03-14T21:14:25.610Z,17.8855,-66.7133,5,2.62,md,7,216,0.1885,0.16,pr,pr2020074031,2020-03-14T21:47:04.842Z,"Puerto Rico region",earthquake,0.96,0.6,0.24,4,reviewed,pr,pr
2020-03-14T21:08:58.250Z,17.86,-66.7943,5,2.82,md,6,252,0.143,0.07,pr,pr2020074034,2020-03-14T22:57:44.716Z,"Puerto Rico region",earthquake,0.74,0.43,0.15,4,reviewed,pr,pr
2020-03-14T20:46:40.764Z,17.79,-66.8745,10,2.8,ml,,219,0.24,0.58,us,us60008frl,2020-03-14T21:22:10.343Z,"Puerto Rico region",earthquake,1.1,2,0.061,35,reviewed,us,us
2020-03-14T19:31:53.980Z,17.874,-66.7423,7,2.52,md,8,219,0.1702,0.16,pr,pr2020074030,2020-03-15T03:34:30.435Z,"Puerto Rico region",earthquake,1.66,1.99,0.36,5,reviewed,pr,pr
2020-03-14T18:30:33.911Z,3.5745,94.5803,10,4.4,mb,,118,2.875,0.63,us,us60008fqs,2020-03-14T20:36:20.040Z,"off the west coast of northern Sumatra",earthquake,3.9,1.9,0.089,36,reviewed,us,us
2020-03-14T17:51:24.170Z,17.843,-66.8521,3,2.6,md,6,255,0.1348,0.16,pr,pr2020074029,2020-03-14T19:29:35.941Z,"Puerto Rico region",earthquake,0.77,0.63,0.36,2,reviewed,pr,pr
2020-03-14T15:42:47.602Z,21.1676,-45.8177,10,4.7,mb,,138,22.269,0.63,us,us60008fpd,2020-03-14T17:15:35.040Z,"northern Mid-Atlantic Ridge",earthquake,10.9,1.8,0.077,51,reviewed,us,us
2020-03-14T15:23:44.850Z,17.8425,-66.8646,4,2.57,md,6,255,0.1334,0.27,pr,pr2020074024,2020-03-14T16:35:47.180Z,"Puerto Rico region",earthquake,1.08,0.89,0.07,3,reviewed,pr,pr
2020-03-14T14:46:07.830Z,17.8375,-66.8665,12,2.64,md,8,256,0.1382,0.1,pr,pr2020074023,2020-03-14T16:04:45.105Z,"Puerto Rico region",earthquake,0.73,0.74,0.26,3,reviewed,pr,pr
